0 4 8
24 4 8
48 4 8
72 4 8
96 4 8
120 4 8
144 4 8
204 20 128
224 10 136
234 6 2
244 20 128
264 10 136
274 6 2
284 20 128
304 10 136
314 6 2
324 20 128
344 10 136
354 6 2
364 20 128
384 10 136
394 6 2
404 20 128
424 10 136
434 6 2
444 20 128
464 10 136
474 6 2
484 4 8
488 20 128
508 10 136
518 6 2
528 20 128
548 10 136
558 6 2
568 20 128
588 10 136
598 6 2
608 20 128
628 10 136
638 6 2
648 20 128
668 10 136
678 6 2
688 20 128
708 10 136
718 6 2
728 20 128
748 10 136
758 6 2
768 4 8
772 20 128
792 10 136
802 6 2
812 20 128
832 10 136
842 6 2
852 20 128
872 10 136
882 6 2
892 20 128
912 10 136
922 6 2
932 20 128
952 10 136
962 6 2
972 20 128
992 10 136
1002 6 2
1012 20 128
1032 10 136
1042 6 2
1052 4 8
1056 20 128
1076 10 136
1086 6 2
1096 20 128
1116 10 136
1126 6 2
1136 20 128
1156 10 136
1166 6 2
1176 20 128
1196 10 136
1206 6 2
1216 20 128
1236 10 136
1246 6 2
1256 20 128
1276 10 136
1286 6 2
1296 20 128
1316 10 136
1326 6 2
1336 4 8
1340 20 128
1360 10 136
1370 6 2
1380 20 128
1400 10 136
1410 6 2
1420 20 128
1440 10 136
1450 6 2
1460 20 128
1480 10 136
1490 6 2
1500 20 128
1520 10 136
1530 6 2
1540 20 128
1560 10 136
1570 6 2
1580 20 128
1600 10 136
1610 6 2
1620 4 8
1624 20 128
1644 10 136
1654 6 2
1664 20 128
1684 10 136
1694 6 2
1704 20 128
1724 10 136
1734 6 2
1744 20 128
1764 10 136
1774 6 2
1784 20 128
1804 10 136
1814 6 2
1824 20 128
1844 10 136
1854 6 2
1864 20 128
1884 10 136
1894 6 2
1904 4 8
1908 20 128
1928 10 136
1938 6 2
1948 20 128
1968 10 136
1978 6 2
1988 20 128
2008 10 136
2018 6 2
2028 20 128
2048 10 136
2058 6 2
2068 20 128
2088 10 136
2098 6 2
2108 20 128
2128 10 136
2138 6 2
2148 20 128
2168 10 136
2178 6 2
2188 4 8
2192 20 128
2212 10 136
2222 6 2
2232 20 128
2252 10 136
2262 6 2
2272 20 128
2292 10 136
2302 6 2
2312 20 128
2332 10 136
2342 6 2
2352 20 128
2372 10 136
2382 6 2
2392 20 128
2412 10 136
2422 6 2
2432 20 128
2452 10 136
2462 6 2
2472 4 8
2476 20 128
2496 10 136
2506 6 2
2516 20 128
2536 10 136
2546 6 2
2556 20 128
2576 10 136
2586 6 2
2596 20 128
2616 10 136
2626 6 2
2636 20 128
2656 10 136
2666 6 2
2676 20 128
2696 10 136
2706 6 2
2716 20 128
2736 10 136
2746 6 2
2756 4 8
2760 20 128
2780 10 136
2790 6 2
2800 20 128
2820 10 136
2830 6 2
2840 20 128
2860 10 136
2870 6 2
2880 20 128
2900 10 136
2910 6 2
2920 20 128
2940 10 136
2950 6 2
2960 20 128
2980 10 136
2990 6 2
3000 20 128
3020 10 136
3030 6 2
3040 4 8
3044 20 128
3064 10 136
